age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,tuition_monthly,financial_aid_monthly,books_supplies_monthly,total_spending,spending_margin,gmm_label,spending_category
23,Female,Junior,Biology,504,775,4132,997,237,69,199,111,58,62,195,195,Credit/Debit Card,689,129,33,2646,2013,2,Over-Spender
24,Female,Senior,Economics,1203,115,3234,858,249,157,292,132,94,278,66,49,Cash,539,19,49,2471,1249,0,Balanced
20,Female,Senior,Psychology,951,279,4004,453,366,121,287,71,65,207,129,122,Mobile Payment App,667,46,48,2249,1252,0,Balanced
24,Non-binary,Sophomore,Psychology,857,583,3939,587,147,126,160,117,85,98,69,143,Mobile Payment App,656,97,27,2055,1101,0,Balanced
19,Male,Senior,Psychology,812,539,3191,744,108,189,296,31,81,204,87,34,Cash,532,90,49,2059,1157,0,Balanced
18,Male,Sophomore,Computer Science,540,649,5188,746,173,147,113,139,29,103,73,118,Credit/Debit Card,865,108,19,2412,1764,2,Over-Spender
19,Non-binary,Junior,Psychology,889,483,3007,673,225,113,113,148,40,256,171,175,Cash,501,80,19,2321,1352,0,Balanced
18,Non-binary,Freshman,Psychology,992,680,5718,533,241,84,276,65,81,141,171,51,Credit/Debit Card,953,113,46,2366,1261,0,Balanced
21,Male,Junior,Biology,760,869,3712,567,291,94,86,141,97,55,165,44,Mobile Payment App,619,145,14,2087,1182,0,Balanced
25,Male,Sophomore,Biology,1199,996,4865,533,207,123,70,104,76,256,189,192,Credit/Debit Card,811,166,12,2503,1138,0,Balanced
20,Female,Junior,Biology,578,460,4893,488,139,168,58,105,92,177,183,92,Credit/Debit Card,816,77,10,2270,1615,2,Over-Spender
24,Female,Senior,Economics,994,940,4885,487,143,54,79,74,53,77,66,22,Cash,814,157,13,1803,652,1,Saver
18,Non-binary,Junior,Economics,552,481,5312,937,307,77,71,21,52,127,46,77,Mobile Payment App,885,80,12,2541,1909,2,Over-Spender
21,Male,Junior,Computer Science,1444,792,5866,607,396,189,125,76,80,59,79,78,Credit/Debit Card,978,132,21,2563,987,1,Saver
19,Female,Junior,Psychology,1203,550,3282,654,182,108,288,147,38,92,182,128,Mobile Payment App,547,92,48,2126,831,1,Saver
25,Female,Sophomore,Computer Science,1481,50,4898,982,157,162,159,30,76,225,99,166,Credit/Debit Card,816,8,26,2739,1250,0,Balanced
25,Non-binary,Sophomore,Economics,700,174,5318,846,206,108,284,70,23,220,169,142,Credit/Debit Card,886,29,47,2717,1988,2,Over-Spender
25,Female,Junior,Economics,1087,415,5282,503,155,186,116,31,31,108,141,200,Mobile Payment App,880,69,19,2254,1098,0,Balanced
23,Male,Senior,Economics,672,699,4520,435,153,180,61,75,56,248,195,82,Mobile Payment App,753,116,10,2187,1399,0,Balanced
21,Male,Sophomore,Computer Science,825,882,4307,589,181,54,89,113,55,266,34,176,Credit/Debit Card,718,147,15,2201,1229,0,Balanced
24,Male,Sophomore,Computer Science,1033,267,5997,806,374,86,229,78,31,139,153,77,Cash,1000,44,38,2782,1705,2,Over-Spender
25,Non-binary,Freshman,Engineering,774,250,5306,942,324,73,271,107,77,92,80,66,Credit/Debit Card,884,42,45,2690,1874,2,Over-Spender
23,Male,Junior,Engineering,1365,744,3066,936,265,52,121,46,85,292,128,115,Credit/Debit Card,511,124,20,2450,961,1,Saver
25,Non-binary,Sophomore,Economics,810,826,3709,938,206,180,112,82,45,165,110,98,Mobile Payment App,618,138,19,2461,1513,0,Balanced
22,Male,Sophomore,Economics,856,33,5420,967,391,112,196,43,71,294,91,139,Mobile Payment App,903,6,33,3044,2182,2,Over-Spender
21,Female,Senior,Psychology,985,586,4345,481,110,141,135,103,42,270,194,196,Credit/Debit Card,724,98,22,2283,1200,0,Balanced
22,Non-binary,Junior,Biology,919,369,4599,788,119,170,58,124,34,97,64,185,Credit/Debit Card,766,62,10,2357,1376,0,Balanced
18,Female,Sophomore,Biology,637,130,5152,559,340,62,226,42,72,244,197,42,Cash,859,22,38,2455,1796,2,Over-Spender
20,Male,Freshman,Economics,894,327,3535,689,213,127,69,116,50,143,81,51,Credit/Debit Card,589,54,12,2071,1123,0,Balanced
22,Female,Senior,Economics,874,561,3452,504,299,111,237,113,71,104,45,62,Cash,575,94,40,1924,956,1,Saver
22,Female,Junior,Computer Science,850,699,3180,777,196,102,212,98,75,192,48,106,Credit/Debit Card,530,116,35,2159,1193,0,Balanced
24,Non-binary,Junior,Engineering,879,865,5743,921,249,189,222,111,71,112,60,133,Credit/Debit Card,957,144,37,2840,1817,2,Over-Spender
24,Female,Junior,Economics,811,346,3527,795,308,106,74,126,23,299,111,152,Credit/Debit Card,588,58,12,2520,1651,2,Over-Spender
21,Male,Sophomore,Computer Science,809,768,4079,505,186,176,217,70,81,194,193,91,Cash,680,128,36,2212,1275,0,Balanced
18,Non-binary,Senior,Psychology,596,316,5494,567,308,54,126,149,46,278,134,21,Credit/Debit Card,916,53,21,2494,1845,2,Over-Spender
25,Male,Sophomore,Economics,856,102,3647,500,341,123,198,85,73,208,58,21,Mobile Payment App,608,17,33,2050,1177,0,Balanced
25,Male,Senior,Computer Science,886,143,3489,676,219,61,198,99,95,178,46,188,Mobile Payment App,582,24,33,2177,1267,0,Balanced
24,Female,Sophomore,Psychology,1205,715,5781,428,346,190,79,37,28,57,182,133,Mobile Payment App,964,119,13,2378,1054,1,Saver
21,Non-binary,Freshman,Biology,1353,444,4343,622,341,198,152,106,44,236,60,171,Cash,724,74,25,2527,1100,0,Balanced
22,Male,Junior,Computer Science,1268,886,4960,917,100,53,102,98,66,228,124,176,Cash,827,148,17,2606,1190,0,Balanced
23,Non-binary,Sophomore,Psychology,1112,5,3873,737,188,101,266,46,76,73,190,159,Cash,646,1,44,2260,1147,0,Balanced
20,Female,Junior,Engineering,1206,639,5211,720,363,66,120,134,85,152,52,30,Cash,868,106,20,2490,1178,0,Balanced
24,Male,Junior,Biology,1159,465,3153,891,226,55,95,46,58,284,41,88,Mobile Payment App,526,78,16,2231,994,1,Saver
19,Non-binary,Sophomore,Biology,1250,113,4859,521,305,92,133,77,92,69,108,116,Mobile Payment App,810,19,22,2212,943,1,Saver
20,Non-binary,Freshman,Computer Science,1120,327,5509,670,120,130,178,52,71,267,38,63,Mobile Payment App,918,54,30,2359,1185,0,Balanced
24,Non-binary,Senior,Computer Science,1277,520,4706,538,374,183,243,80,74,246,152,46,Cash,784,87,40,2517,1153,0,Balanced
19,Male,Freshman,Psychology,1442,463,5284,537,307,157,113,60,39,261,178,115,Mobile Payment App,881,77,19,2554,1035,1,Saver
24,Non-binary,Junior,Biology,776,16,4353,460,358,95,219,27,61,178,173,168,Cash,726,3,36,2282,1503,0,Balanced
21,Female,Sophomore,Biology,800,311,3641,438,331,60,125,22,41,253,45,78,Mobile Payment App,607,52,21,1896,1044,1,Saver
18,Female,Junior,Computer Science,1078,910,5416,507,232,175,64,129,55,136,156,52,Credit/Debit Card,903,152,11,2356,1126,0,Balanced
20,Male,Junior,Computer Science,1404,747,3920,760,237,104,122,28,82,115,75,56,Mobile Payment App,653,124,20,2130,602,1,Saver
21,Non-binary,Junior,Psychology,1097,70,4255,447,101,125,267,119,58,76,37,94,Credit/Debit Card,709,12,44,1810,701,1,Saver
22,Non-binary,Freshman,Biology,835,244,3098,834,380,95,243,39,51,178,101,110,Credit/Debit Card,516,41,40,2344,1468,0,Balanced
18,Non-binary,Senior,Economics,755,757,3221,820,301,126,231,77,71,284,99,111,Credit/Debit Card,537,126,38,2464,1583,0,Balanced
19,Male,Freshman,Engineering,1087,133,5170,872,133,86,177,73,63,198,167,32,Credit/Debit Card,862,22,30,2516,1407,0,Balanced
23,Male,Sophomore,Computer Science,931,950,3012,636,329,187,96,141,96,246,193,121,Cash,502,158,16,2467,1378,0,Balanced
20,Female,Sophomore,Psychology,983,321,4912,761,350,177,256,61,73,206,63,179,Credit/Debit Card,819,54,43,2732,1695,2,Over-Spender
21,Non-binary,Sophomore,Engineering,639,854,4160,676,174,107,208,71,48,231,192,169,Mobile Payment App,693,142,35,2396,1615,2,Over-Spender
20,Male,Junior,Engineering,527,438,4231,961,212,60,287,57,31,80,162,40,Mobile Payment App,705,73,48,2356,1756,2,Over-Spender
24,Male,Junior,Computer Science,744,666,4930,853,134,115,197,107,73,256,117,34,Mobile Payment App,822,111,33,2544,1689,2,Over-Spender
21,Male,Freshman,Economics,1118,367,3821,956,287,112,267,65,92,147,149,50,Mobile Payment App,637,61,44,2539,1360,0,Balanced
22,Male,Senior,Engineering,1276,606,3809,970,124,97,271,96,81,110,136,42,Credit/Debit Card,635,101,45,2336,959,1,Saver
25,Female,Junior,Engineering,880,863,4771,903,291,100,292,108,55,217,164,51,Cash,795,144,49,2733,1709,2,Over-Spender
23,Male,Freshman,Engineering,1424,887,4645,854,140,145,156,35,36,50,114,153,Mobile Payment App,774,148,26,2327,755,1,Saver
22,Female,Senior,Psychology,1276,500,3568,785,338,144,298,91,64,173,98,109,Mobile Payment App,595,83,50,2447,1088,0,Balanced
19,Non-binary,Junior,Computer Science,697,943,5958,824,274,200,89,56,31,268,175,96,Mobile Payment App,993,157,15,2932,2078,2,Over-Spender
23,Non-binary,Senior,Computer Science,1379,500,3665,946,114,143,211,92,20,83,113,110,Mobile Payment App,611,83,35,2267,805,1,Saver
20,Female,Freshman,Computer Science,1466,977,5400,698,283,135,58,135,96,171,30,85,Credit/Debit Card,900,163,10,2543,914,1,Saver
24,Male,Junior,Biology,1126,649,3565,483,259,63,53,57,43,65,40,86,Cash,594,108,9,1699,465,1,Saver
23,Non-binary,Senior,Biology,1126,9,5535,1000,206,135,84,70,95,295,120,73,Cash,922,2,14,2930,1802,2,Over-Spender
21,Non-binary,Senior,Biology,618,916,4952,459,192,145,202,86,81,122,150,113,Cash,825,153,34,2207,1436,0,Balanced
22,Non-binary,Junior,Biology,785,303,3495,407,245,64,92,47,82,94,104,184,Mobile Payment App,582,50,15,1824,989,1,Saver
18,Non-binary,Senior,Computer Science,770,554,3535,468,171,104,93,75,22,74,191,182,Cash,589,92,16,1892,1030,1,Saver
25,Non-binary,Sophomore,Psychology,1431,856,5216,528,377,155,191,149,56,117,124,173,Credit/Debit Card,869,143,32,2580,1006,1,Saver
18,Female,Freshman,Biology,1338,491,3955,781,100,139,175,129,24,167,149,137,Credit/Debit Card,659,82,29,2314,894,1,Saver
25,Female,Sophomore,Psychology,1121,794,3517,407,363,101,170,60,30,168,101,124,Mobile Payment App,586,132,28,1968,715,1,Saver
24,Female,Freshman,Engineering,1245,675,5833,944,195,107,88,79,95,166,199,122,Credit/Debit Card,972,112,15,2894,1537,0,Balanced
20,Female,Senior,Computer Science,748,223,3343,919,100,142,266,77,60,103,199,87,Mobile Payment App,557,37,44,2288,1503,0,Balanced
20,Female,Junior,Biology,1389,477,3610,811,152,91,234,82,33,171,96,31,Credit/Debit Card,602,80,39,2108,639,1,Saver
19,Female,Junior,Engineering,1122,790,5969,840,365,104,134,64,98,201,57,168,Credit/Debit Card,995,132,22,2914,1660,2,Over-Spender
23,Male,Senior,Psychology,1113,955,5456,773,349,178,79,135,78,200,135,127,Cash,909,159,13,2897,1625,2,Over-Spender
20,Female,Sophomore,Economics,879,547,5055,407,169,105,280,90,62,238,82,172,Cash,842,91,47,2214,1244,0,Balanced
18,Non-binary,Freshman,Economics,1489,202,4710,921,101,187,122,130,38,246,96,193,Mobile Payment App,785,34,20,2717,1194,0,Balanced
22,Female,Freshman,Biology,869,85,5866,754,379,127,214,111,64,276,37,105,Cash,978,14,36,2867,1984,2,Over-Spender
23,Male,Junior,Psychology,1381,520,5066,624,356,65,97,55,84,106,65,51,Mobile Payment App,844,87,16,2266,798,1,Saver
21,Non-binary,Sophomore,Biology,1325,735,4012,880,270,200,230,121,97,248,102,157,Cash,669,122,38,2782,1335,0,Balanced
20,Male,Senior,Psychology,581,492,3705,448,318,114,186,129,85,215,188,100,Cash,618,82,31,2246,1583,0,Balanced
22,Non-binary,Senior,Engineering,694,245,4140,692,398,92,215,25,92,247,135,28,Mobile Payment App,690,41,36,2435,1700,2,Over-Spender
24,Female,Sophomore,Economics,615,563,3389,403,200,109,63,145,79,233,64,153,Mobile Payment App,565,94,10,1961,1252,0,Balanced
25,Female,Sophomore,Economics,1394,519,4998,879,222,84,141,21,67,96,101,111,Credit/Debit Card,833,86,24,2438,958,1,Saver
25,Female,Freshman,Biology,800,223,5867,828,298,94,166,127,81,229,48,71,Credit/Debit Card,978,37,28,2782,1945,2,Over-Spender
20,Male,Senior,Psychology,913,634,3541,668,375,187,171,70,91,90,133,200,Cash,590,106,28,2432,1413,0,Balanced
19,Male,Sophomore,Psychology,1243,882,5570,574,106,190,73,85,97,264,94,82,Mobile Payment App,928,147,12,2432,1042,1,Saver
20,Female,Sophomore,Economics,655,685,3115,481,270,157,133,97,22,112,80,98,Credit/Debit Card,519,114,22,1858,1089,0,Balanced
18,Male,Freshman,Biology,667,647,4637,906,225,123,204,81,36,89,33,137,Credit/Debit Card,773,108,34,2437,1662,2,Over-Spender
24,Non-binary,Senior,Economics,1458,7,5143,505,329,140,265,138,65,81,49,198,Credit/Debit Card,857,1,44,2406,947,1,Saver
22,Non-binary,Sophomore,Biology,925,350,4445,529,227,51,173,132,24,58,183,74,Mobile Payment App,741,58,29,2048,1065,0,Balanced
21,Non-binary,Senior,Economics,1105,35,4114,417,308,178,152,142,90,286,84,139,Credit/Debit Card,686,6,25,2355,1244,0,Balanced
18,Male,Junior,Biology,737,490,5522,758,135,160,105,65,80,281,148,112,Cash,920,82,18,2677,1858,2,Over-Spender
25,Female,Freshman,Computer Science,1495,892,5525,767,182,97,213,135,30,196,54,21,Mobile Payment App,921,149,36,2439,795,1,Saver
20,Male,Senior,Economics,1298,971,5002,717,249,63,214,72,40,220,80,26,Mobile Payment App,834,162,36,2337,877,1,Saver
21,Male,Sophomore,Psychology,1272,784,3708,810,364,90,119,32,67,91,146,150,Credit/Debit Card,618,131,20,2388,985,1,Saver
19,Female,Senior,Biology,511,825,5383,917,201,152,117,147,42,244,75,126,Credit/Debit Card,897,138,20,2821,2172,2,Over-Spender
21,Female,Sophomore,Engineering,1161,566,5178,653,381,155,213,116,45,208,139,174,Credit/Debit Card,863,94,36,2770,1515,0,Balanced
21,Male,Senior,Psychology,1112,943,5832,881,292,93,288,135,82,67,102,157,Mobile Payment App,972,157,48,2829,1560,0,Balanced
25,Male,Junior,Economics,958,451,5949,655,163,78,96,150,54,78,76,176,Cash,992,75,16,2438,1405,0,Balanced
25,Non-binary,Junior,Engineering,1176,186,4044,615,319,93,108,46,96,184,61,37,Credit/Debit Card,674,31,18,2143,936,1,Saver
20,Non-binary,Senior,Engineering,727,451,3325,570,253,76,98,55,49,229,96,97,Cash,554,75,16,1995,1193,0,Balanced
25,Non-binary,Senior,Biology,1483,826,3048,733,136,103,278,114,22,282,110,60,Credit/Debit Card,508,138,46,2114,493,1,Saver
24,Male,Junior,Computer Science,881,97,4884,857,340,166,147,34,32,298,115,38,Credit/Debit Card,814,16,24,2718,1821,2,Over-Spender
21,Male,Freshman,Engineering,1347,634,5766,562,398,134,222,43,56,108,162,34,Mobile Payment App,961,106,37,2495,1042,1,Saver
22,Female,Freshman,Psychology,725,132,4477,822,150,61,192,133,89,204,133,95,Mobile Payment App,746,22,32,2465,1718,2,Over-Spender
18,Non-binary,Sophomore,Biology,1000,270,4171,859,194,139,246,102,65,93,185,152,Credit/Debit Card,695,45,41,2525,1480,0,Balanced
24,Female,Sophomore,Engineering,795,580,4126,454,226,132,114,117,72,158,133,132,Credit/Debit Card,688,97,19,2131,1239,0,Balanced
18,Male,Senior,Economics,869,447,3962,416,369,112,71,44,51,160,74,43,Mobile Payment App,660,74,12,1941,998,1,Saver
24,Female,Freshman,Biology,543,177,4823,976,295,153,86,107,36,143,118,172,Credit/Debit Card,804,30,14,2818,2245,2,Over-Spender
25,Male,Sophomore,Economics,1470,403,5561,704,178,104,173,36,50,81,140,114,Credit/Debit Card,927,67,29,2363,826,1,Saver
19,Female,Freshman,Economics,734,838,4441,437,185,79,53,129,21,149,120,53,Cash,740,140,9,1922,1048,1,Saver
20,Female,Freshman,Computer Science,669,638,5929,588,290,176,218,74,23,199,65,149,Mobile Payment App,988,106,36,2588,1813,2,Over-Spender
19,Female,Junior,Psychology,1336,417,4533,809,268,131,237,96,88,289,113,120,Cash,756,70,40,2710,1304,0,Balanced
21,Female,Sophomore,Economics,1436,435,5414,748,274,89,220,34,79,241,118,113,Mobile Payment App,902,72,37,2635,1127,0,Balanced
21,Non-binary,Freshman,Engineering,1339,777,5292,509,245,113,70,101,47,297,156,41,Mobile Payment App,882,130,12,2403,934,1,Saver
18,Female,Freshman,Biology,609,201,4477,930,260,178,272,98,83,138,129,52,Credit/Debit Card,746,34,45,2659,2016,2,Over-Spender
21,Non-binary,Sophomore,Economics,1036,169,4582,426,206,189,237,140,70,59,105,123,Mobile Payment App,764,28,40,2122,1058,1,Saver
25,Female,Senior,Engineering,1309,840,5575,923,257,115,263,78,20,236,39,78,Mobile Payment App,929,140,44,2719,1270,0,Balanced
25,Male,Sophomore,Engineering,1471,521,4388,504,341,113,76,34,67,216,78,36,Cash,731,87,13,2133,575,1,Saver
19,Male,Freshman,Engineering,658,487,3579,705,292,172,198,20,50,209,68,21,Mobile Payment App,596,81,33,2166,1427,0,Balanced
19,Male,Junior,Engineering,684,728,5407,953,162,107,117,64,54,260,166,168,Mobile Payment App,901,121,20,2855,2050,2,Over-Spender
20,Male,Sophomore,Computer Science,907,468,3358,877,152,170,63,44,47,176,158,187,Credit/Debit Card,560,78,10,2381,1396,0,Balanced
18,Male,Freshman,Computer Science,846,671,4827,928,256,61,114,21,77,160,133,143,Mobile Payment App,804,112,19,2602,1644,2,Over-Spender
18,Female,Sophomore,Biology,1175,963,5461,498,218,81,182,26,60,296,143,24,Cash,910,160,30,2286,951,1,Saver
25,Male,Freshman,Biology,659,893,5837,867,142,77,163,105,79,184,166,140,Credit/Debit Card,973,149,27,2760,1952,2,Over-Spender
18,Non-binary,Sophomore,Economics,1488,492,5185,450,152,120,218,91,81,257,50,39,Cash,864,82,36,2140,570,1,Saver
22,Female,Senior,Psychology,1190,194,5107,483,299,179,173,30,68,144,170,119,Cash,851,32,29,2372,1150,0,Balanced
19,Female,Junior,Psychology,742,543,5288,772,125,162,123,126,51,94,113,71,Credit/Debit Card,881,90,20,2415,1583,0,Balanced
23,Non-binary,Freshman,Psychology,914,663,3265,809,175,60,125,21,81,135,194,154,Credit/Debit Card,544,110,21,2194,1170,0,Balanced
19,Male,Freshman,Biology,1485,53,3659,651,221,198,124,141,85,293,57,171,Cash,610,9,21,2448,954,1,Saver
20,Female,Junior,Biology,582,678,4190,722,112,188,97,133,66,69,131,147,Credit/Debit Card,698,113,16,2282,1587,0,Balanced
19,Non-binary,Junior,Engineering,1468,415,4764,613,115,157,121,31,88,77,56,117,Credit/Debit Card,794,69,20,2068,531,1,Saver
25,Female,Sophomore,Computer Science,1021,93,3755,512,104,188,146,103,63,183,128,34,Cash,626,16,24,1965,928,1,Saver
24,Male,Freshman,Computer Science,760,281,4727,822,394,88,191,50,48,160,188,81,Mobile Payment App,788,47,32,2651,1844,2,Over-Spender
24,Non-binary,Freshman,Economics,969,371,3771,889,336,59,298,35,89,201,74,75,Cash,628,62,50,2436,1405,0,Balanced
23,Female,Senior,Biology,990,431,3846,594,330,89,114,54,72,82,132,125,Mobile Payment App,641,72,19,2138,1076,0,Balanced
23,Non-binary,Sophomore,Engineering,1304,457,4240,878,111,165,86,123,41,120,124,27,Cash,707,76,14,2310,930,1,Saver
23,Male,Sophomore,Biology,805,0,4759,409,255,101,285,49,45,89,115,129,Credit/Debit Card,793,0,48,2033,1228,0,Balanced
25,Male,Senior,Engineering,1179,223,4058,952,340,118,65,121,51,174,41,177,Credit/Debit Card,676,37,11,2661,1445,0,Balanced
18,Non-binary,Senior,Computer Science,573,299,3003,878,229,131,157,58,88,53,182,190,Mobile Payment App,500,50,26,2335,1712,2,Over-Spender
25,Female,Senior,Psychology,843,4,4906,869,226,196,66,82,98,289,58,148,Mobile Payment App,818,1,11,2795,1951,2,Over-Spender
23,Non-binary,Junior,Biology,1085,795,3056,501,170,136,155,70,46,192,89,38,Mobile Payment App,509,132,26,1777,560,1,Saver
23,Female,Freshman,Biology,580,771,3789,707,322,170,244,114,75,79,188,107,Credit/Debit Card,632,128,41,2435,1727,2,Over-Spender
25,Female,Sophomore,Computer Science,975,630,4785,693,316,177,263,121,62,233,149,32,Cash,798,105,44,2625,1545,0,Balanced
23,Male,Senior,Psychology,602,608,4542,830,378,83,229,131,54,166,145,160,Credit/Debit Card,757,101,38,2742,2039,2,Over-Spender
23,Non-binary,Senior,Economics,1103,873,4761,671,394,121,215,112,47,118,119,115,Cash,794,146,36,2527,1278,0,Balanced
20,Non-binary,Freshman,Psychology,816,233,3909,949,136,165,53,59,30,275,183,32,Mobile Payment App,652,39,9,2490,1635,2,Over-Spender
24,Male,Freshman,Engineering,1016,201,5042,606,142,54,188,106,64,162,40,84,Cash,840,34,31,2129,1079,0,Balanced
23,Non-binary,Junior,Engineering,969,327,3449,516,312,182,186,25,44,186,117,164,Cash,575,54,31,2152,1129,0,Balanced
21,Non-binary,Junior,Computer Science,918,831,5934,949,391,81,127,121,64,275,141,159,Credit/Debit Card,989,138,21,3191,2135,2,Over-Spender
23,Non-binary,Senior,Computer Science,982,207,4397,710,159,118,89,109,87,225,65,69,Mobile Payment App,733,34,15,2290,1274,0,Balanced
25,Male,Junior,Computer Science,1021,912,5979,785,293,86,228,32,46,135,102,72,Cash,996,152,38,2585,1412,0,Balanced
22,Female,Sophomore,Psychology,521,884,5701,916,342,175,221,86,46,57,112,27,Mobile Payment App,950,147,37,2748,2080,2,Over-Spender
24,Female,Freshman,Computer Science,1444,881,3721,458,269,70,89,72,50,182,81,130,Mobile Payment App,620,147,15,1947,356,1,Saver
21,Male,Sophomore,Psychology,646,487,4218,822,124,74,108,52,97,68,105,48,Credit/Debit Card,703,81,18,2111,1384,0,Balanced
21,Female,Freshman,Economics,1296,133,3728,464,212,184,298,72,53,198,111,135,Mobile Payment App,621,22,50,2100,782,1,Saver
18,Non-binary,Freshman,Economics,1360,222,5759,810,164,153,77,60,99,180,177,143,Mobile Payment App,960,37,13,2759,1362,0,Balanced
19,Female,Senior,Biology,1123,5,5407,404,345,122,187,73,20,215,171,190,Cash,901,1,31,2472,1348,0,Balanced
18,Female,Senior,Psychology,1020,74,5837,552,123,138,267,98,63,267,163,30,Mobile Payment App,973,12,44,2451,1419,0,Balanced
21,Female,Freshman,Computer Science,736,628,3757,743,256,180,209,92,92,228,44,61,Credit/Debit Card,626,105,35,2357,1516,0,Balanced
23,Non-binary,Senior,Economics,931,322,5865,490,155,146,175,79,95,113,142,139,Cash,978,54,29,2366,1381,0,Balanced
24,Male,Senior,Psychology,1443,982,3807,814,364,169,299,126,20,102,193,127,Mobile Payment App,634,164,50,2599,992,1,Saver
22,Male,Freshman,Engineering,730,374,3483,675,230,68,212,124,72,156,118,181,Cash,580,62,35,2239,1447,0,Balanced
25,Non-binary,Senior,Economics,561,759,4229,781,147,88,144,55,95,114,142,56,Mobile Payment App,705,126,24,2207,1520,0,Balanced
25,Female,Sophomore,Economics,1212,616,5867,728,378,65,159,92,79,289,35,75,Cash,978,103,26,2745,1430,0,Balanced
25,Non-binary,Freshman,Computer Science,1282,416,5824,594,309,121,108,58,91,234,104,120,Cash,971,69,18,2620,1269,0,Balanced
21,Non-binary,Freshman,Biology,1438,364,5133,617,392,127,249,37,28,154,170,174,Mobile Payment App,856,61,42,2597,1098,0,Balanced
18,Female,Senior,Psychology,702,531,4901,497,237,150,298,46,62,225,123,130,Credit/Debit Card,817,88,50,2337,1547,0,Balanced
20,Male,Senior,Biology,1433,764,5002,589,397,51,288,135,100,71,48,112,Credit/Debit Card,834,127,48,2385,825,1,Saver
25,Female,Freshman,Psychology,1444,542,4680,829,207,122,260,109,37,127,43,69,Cash,780,90,43,2366,832,1,Saver
22,Female,Junior,Psychology,536,484,5803,413,326,104,86,99,69,197,167,157,Cash,967,81,14,2513,1896,2,Over-Spender
18,Non-binary,Freshman,Engineering,1260,68,3610,637,296,86,87,50,54,230,183,137,Credit/Debit Card,602,11,14,2289,1018,1,Saver
18,Non-binary,Freshman,Biology,701,340,3235,969,337,65,152,113,99,169,161,159,Cash,539,57,25,2636,1878,2,Over-Spender
18,Female,Freshman,Engineering,1309,144,3419,728,171,116,152,107,85,124,76,78,Cash,570,24,25,2080,747,1,Saver
18,Non-binary,Sophomore,Economics,842,491,4582,473,202,156,279,120,81,270,67,78,Credit/Debit Card,764,82,46,2257,1333,0,Balanced
24,Male,Freshman,Computer Science,617,863,3795,837,231,152,256,41,74,221,130,106,Credit/Debit Card,632,144,43,2467,1706,2,Over-Spender
21,Non-binary,Junior,Engineering,1134,490,5864,714,370,96,199,114,82,67,190,24,Cash,977,82,33,2667,1451,0,Balanced
23,Non-binary,Sophomore,Psychology,992,242,4210,495,187,114,58,132,96,154,134,179,Mobile Payment App,702,40,10,2203,1171,0,Balanced
18,Non-binary,Freshman,Economics,1408,572,4271,477,320,78,150,150,81,163,46,24,Mobile Payment App,712,95,25,2076,573,1,Saver
21,Female,Senior,Biology,1368,940,3234,405,334,59,114,23,67,135,190,22,Mobile Payment App,539,157,19,1793,268,1,Saver
22,Male,Senior,Economics,716,157,4056,789,358,186,216,78,74,175,169,109,Cash,676,26,36,2650,1908,2,Over-Spender
22,Non-binary,Freshman,Psychology,1224,581,5309,936,264,55,188,126,47,194,79,26,Credit/Debit Card,885,97,31,2643,1322,0,Balanced
19,Non-binary,Senior,Biology,1349,788,4273,421,106,160,147,39,89,235,182,43,Cash,712,131,24,2011,531,1,Saver
24,Female,Sophomore,Engineering,802,552,3146,724,213,95,135,103,70,267,54,123,Cash,524,92,22,2195,1301,0,Balanced
18,Female,Senior,Psychology,973,318,3600,913,375,183,178,122,94,129,66,148,Cash,600,53,30,2660,1634,2,Over-Spender
19,Female,Senior,Engineering,736,660,5945,478,342,75,279,43,49,107,94,57,Mobile Payment App,991,110,46,2282,1436,0,Balanced
22,Male,Senior,Engineering,571,498,3897,648,181,56,275,86,57,287,79,110,Mobile Payment App,650,83,46,2200,1546,0,Balanced
25,Female,Sophomore,Engineering,833,56,3133,615,147,90,201,81,30,148,42,121,Cash,522,9,34,1830,988,1,Saver
22,Female,Freshman,Computer Science,713,382,4116,592,329,120,269,46,53,230,57,153,Credit/Debit Card,686,64,45,2311,1534,0,Balanced
20,Male,Junior,Economics,1268,475,5900,661,264,157,258,52,38,167,174,44,Cash,983,79,43,2583,1236,0,Balanced
19,Non-binary,Freshman,Biology,819,615,5075,858,153,200,115,76,90,139,154,44,Mobile Payment App,846,102,19,2579,1658,2,Over-Spender
18,Male,Senior,Economics,1268,324,3788,483,339,159,120,55,22,212,173,78,Credit/Debit Card,631,54,20,2172,850,1,Saver
18,Female,Senior,Engineering,1486,705,4043,661,178,64,276,80,69,144,115,26,Mobile Payment App,674,118,46,2057,453,1,Saver
24,Male,Freshman,Computer Science,1005,536,3944,687,262,148,200,138,53,146,194,80,Cash,657,89,33,2398,1304,0,Balanced
25,Female,Senior,Economics,1205,837,3014,593,183,142,112,77,59,209,145,78,Credit/Debit Card,502,140,19,2007,662,1,Saver
24,Male,Senior,Engineering,1356,858,5137,747,109,170,153,46,40,131,85,120,Mobile Payment App,856,143,26,2330,831,1,Saver
22,Male,Senior,Engineering,817,555,5754,716,382,135,142,21,29,188,183,41,Mobile Payment App,959,92,24,2678,1769,2,Over-Spender
