age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,tuition_monthly,financial_aid_monthly,books_supplies_monthly,total_spending,spending_ratio,spending_category
19,Male,Freshman,Economics,1450,809,4103,845,255,89,136,110,85,183,85,110,Credit/Debit Card,684,135,23,2469,1.5577287066246057,Saver
22,Female,Freshman,Computer Science,1316,938,4316,953,153,179,229,105,66,184,151,137,Credit/Debit Card,719,156,38,2685,1.8240489130434783,Saver
24,Male,Freshman,Computer Science,904,955,4075,875,310,197,201,91,83,224,186,101,Cash,679,159,34,2780,2.6152398871119473,Balanced
23,Female,Junior,Computer Science,1488,77,5418,545,112,193,158,21,64,257,168,86,Cash,903,13,26,2375,1.5822784810126582,Saver
20,Female,Junior,Psychology,893,258,5877,469,131,192,222,73,84,125,176,74,Cash,980,43,37,2341,2.501068376068376,Balanced
21,Male,Freshman,Biology,527,851,4464,683,390,194,185,127,65,188,168,193,Credit/Debit Card,744,142,31,2783,4.159940209267564,Over-Spender
24,Male,Senior,Biology,804,640,3043,927,347,167,151,114,35,206,94,169,Credit/Debit Card,507,107,25,2591,2.844127332601537,Over-Spender
25,Female,Junior,Engineering,547,233,5070,633,164,94,147,123,25,236,116,37,Credit/Debit Card,845,39,24,2297,3.919795221843003,Over-Spender
19,Non-binary,Freshman,Computer Science,523,892,4683,438,180,65,208,108,59,192,92,132,Cash,780,149,35,2081,3.0967261904761907,Over-Spender
24,Female,Senior,Economics,1040,970,5293,701,323,97,196,93,62,170,90,64,Credit/Debit Card,882,162,33,2515,2.0923460898502495,Balanced
24,Male,Freshman,Computer Science,918,273,3012,759,113,181,62,99,81,226,155,199,Credit/Debit Card,502,46,10,2325,2.4118257261410787,Balanced
23,Female,Junior,Biology,504,775,4132,997,237,69,199,111,58,62,195,195,Credit/Debit Card,689,129,33,2646,4.180094786729858,Over-Spender
24,Female,Senior,Economics,1203,115,3234,858,249,157,292,132,94,278,66,49,Cash,539,19,49,2471,2.0220949263502455,Balanced
20,Female,Senior,Psychology,951,279,4004,453,366,121,287,71,65,207,129,122,Mobile Payment App,667,46,48,2249,2.255767301905717,Balanced
24,Non-binary,Sophomore,Psychology,857,583,3939,587,147,126,160,117,85,98,69,143,Mobile Payment App,656,97,27,2055,2.1540880503144653,Balanced
19,Male,Senior,Psychology,812,539,3191,744,108,189,296,31,81,204,87,34,Cash,532,90,49,2059,2.2827050997782705,Balanced
18,Male,Sophomore,Computer Science,540,649,5188,746,173,147,113,139,29,103,73,118,Credit/Debit Card,865,108,19,2412,3.7222222222222223,Over-Spender
19,Non-binary,Junior,Psychology,889,483,3007,673,225,113,113,148,40,256,171,175,Cash,501,80,19,2321,2.395252837977296,Balanced
18,Non-binary,Freshman,Psychology,992,680,5718,533,241,84,276,65,81,141,171,51,Credit/Debit Card,953,113,46,2366,2.1411764705882352,Balanced
21,Male,Junior,Biology,760,869,3712,567,291,94,86,141,97,55,165,44,Mobile Payment App,619,145,14,2087,2.306077348066298,Balanced
25,Male,Sophomore,Biology,1199,996,4865,533,207,123,70,104,76,256,189,192,Credit/Debit Card,811,166,12,2503,1.8336996336996336,Saver
20,Female,Junior,Biology,578,460,4893,488,139,168,58,105,92,177,183,92,Credit/Debit Card,816,77,10,2270,3.4656488549618323,Over-Spender
24,Female,Senior,Economics,994,940,4885,487,143,54,79,74,53,77,66,22,Cash,814,157,13,1803,1.5664639443961772,Balanced
18,Non-binary,Junior,Economics,552,481,5312,937,307,77,71,21,52,127,46,77,Mobile Payment App,885,80,12,2541,4.0205696202531644,Over-Spender
21,Male,Junior,Computer Science,1444,792,5866,607,396,189,125,76,80,59,79,78,Credit/Debit Card,978,132,21,2563,1.626269035532995,Saver
19,Female,Junior,Psychology,1203,550,3282,654,182,108,288,147,38,92,182,128,Mobile Payment App,547,92,48,2126,1.6416988416988416,Saver
25,Female,Sophomore,Computer Science,1481,50,4898,982,157,162,159,30,76,225,99,166,Credit/Debit Card,816,8,26,2739,1.83948959032908,Saver
25,Non-binary,Sophomore,Economics,700,174,5318,846,206,108,284,70,23,220,169,142,Credit/Debit Card,886,29,47,2717,3.7270233196159124,Over-Spender
25,Female,Junior,Economics,1087,415,5282,503,155,186,116,31,31,108,141,200,Mobile Payment App,880,69,19,2254,1.9498269896193772,Balanced
23,Male,Senior,Economics,672,699,4520,435,153,180,61,75,56,248,195,82,Mobile Payment App,753,116,10,2187,2.7753807106598987,Over-Spender
21,Male,Sophomore,Computer Science,825,882,4307,589,181,54,89,113,55,266,34,176,Credit/Debit Card,718,147,15,2201,2.26440329218107,Balanced
24,Male,Sophomore,Computer Science,1033,267,5997,806,374,86,229,78,31,139,153,77,Cash,1000,44,38,2782,2.5831012070566386,Balanced
25,Non-binary,Freshman,Engineering,774,250,5306,942,324,73,271,107,77,92,80,66,Credit/Debit Card,884,42,45,2690,3.2965686274509802,Over-Spender
23,Male,Junior,Engineering,1365,744,3066,936,265,52,121,46,85,292,128,115,Credit/Debit Card,511,124,20,2450,1.6453995970449966,Saver
25,Non-binary,Sophomore,Economics,810,826,3709,938,206,180,112,82,45,165,110,98,Mobile Payment App,618,138,19,2461,2.595991561181435,Balanced
22,Male,Sophomore,Economics,856,33,5420,967,391,112,196,43,71,294,91,139,Mobile Payment App,903,6,33,3044,3.531322505800464,Over-Spender
21,Female,Senior,Psychology,985,586,4345,481,110,141,135,103,42,270,194,196,Credit/Debit Card,724,98,22,2283,2.10803324099723,Balanced
22,Non-binary,Junior,Biology,919,369,4599,788,119,170,58,124,34,97,64,185,Credit/Debit Card,766,62,10,2357,2.402650356778797,Balanced
18,Female,Sophomore,Biology,637,130,5152,559,340,62,226,42,72,244,197,42,Cash,859,22,38,2455,3.725341426403642,Over-Spender
20,Male,Freshman,Economics,894,327,3535,689,213,127,69,116,50,143,81,51,Credit/Debit Card,589,54,12,2071,2.1845991561181433,Balanced
22,Female,Senior,Economics,874,561,3452,504,299,111,237,113,71,104,45,62,Cash,575,94,40,1924,1.987603305785124,Balanced
22,Female,Junior,Computer Science,850,699,3180,777,196,102,212,98,75,192,48,106,Credit/Debit Card,530,116,35,2159,2.2349896480331264,Balanced
24,Non-binary,Junior,Engineering,879,865,5743,921,249,189,222,111,71,112,60,133,Credit/Debit Card,957,144,37,2840,2.7761485826001957,Balanced
24,Female,Junior,Economics,811,346,3527,795,308,106,74,126,23,299,111,152,Credit/Debit Card,588,58,12,2520,2.899884925201381,Over-Spender
21,Male,Sophomore,Computer Science,809,768,4079,505,186,176,217,70,81,194,193,91,Cash,680,128,36,2212,2.3607257203842047,Balanced
18,Non-binary,Senior,Psychology,596,316,5494,567,308,54,126,149,46,278,134,21,Credit/Debit Card,916,53,21,2494,3.842835130970724,Over-Spender
25,Male,Sophomore,Economics,856,102,3647,500,341,123,198,85,73,208,58,21,Mobile Payment App,608,17,33,2050,2.348224513172967,Balanced
25,Male,Senior,Computer Science,886,143,3489,676,219,61,198,99,95,178,46,188,Mobile Payment App,582,24,33,2177,2.3923076923076922,Balanced
24,Female,Sophomore,Psychology,1205,715,5781,428,346,190,79,37,28,57,182,133,Mobile Payment App,964,119,13,2378,1.79607250755287,Saver
21,Non-binary,Freshman,Biology,1353,444,4343,622,341,198,152,106,44,236,60,171,Cash,724,74,25,2527,1.7708479327259985,Saver
22,Male,Junior,Computer Science,1268,886,4960,917,100,53,102,98,66,228,124,176,Cash,827,148,17,2606,1.8403954802259888,Saver
23,Non-binary,Sophomore,Psychology,1112,5,3873,737,188,101,266,46,76,73,190,159,Cash,646,1,44,2260,2.030548068283917,Balanced
20,Female,Junior,Engineering,1206,639,5211,720,363,66,120,134,85,152,52,30,Cash,868,106,20,2490,1.8978658536585367,Saver
24,Male,Junior,Biology,1159,465,3153,891,226,55,95,46,58,284,41,88,Mobile Payment App,526,78,16,2231,1.8035569927243331,Balanced
19,Non-binary,Sophomore,Biology,1250,113,4859,521,305,92,133,77,92,69,108,116,Mobile Payment App,810,19,22,2212,1.7431048069345942,Saver
20,Non-binary,Freshman,Computer Science,1120,327,5509,670,120,130,178,52,71,267,38,63,Mobile Payment App,918,54,30,2359,2.0093696763202726,Balanced
24,Non-binary,Senior,Computer Science,1277,520,4706,538,374,183,243,80,74,246,152,46,Cash,784,87,40,2517,1.845307917888563,Saver
19,Male,Freshman,Psychology,1442,463,5284,537,307,157,113,60,39,261,178,115,Mobile Payment App,881,77,19,2554,1.6813693219223174,Saver
24,Non-binary,Junior,Biology,776,16,4353,460,358,95,219,27,61,178,173,168,Cash,726,3,36,2282,2.9293966623876764,Over-Spender
21,Female,Sophomore,Biology,800,311,3641,438,331,60,125,22,41,253,45,78,Mobile Payment App,607,52,21,1896,2.2253521126760565,Balanced
18,Female,Junior,Computer Science,1078,910,5416,507,232,175,64,129,55,136,156,52,Credit/Debit Card,903,152,11,2356,1.9154471544715448,Balanced
20,Male,Junior,Computer Science,1404,747,3920,760,237,104,122,28,82,115,75,56,Mobile Payment App,653,124,20,2130,1.393979057591623,Saver
21,Non-binary,Junior,Psychology,1097,70,4255,447,101,125,267,119,58,76,37,94,Credit/Debit Card,709,12,44,1810,1.6321009918845808,Balanced
22,Non-binary,Freshman,Biology,835,244,3098,834,380,95,243,39,51,178,101,110,Credit/Debit Card,516,41,40,2344,2.675799086757991,Over-Spender
18,Non-binary,Senior,Economics,755,757,3221,820,301,126,231,77,71,284,99,111,Credit/Debit Card,537,126,38,2464,2.796821793416572,Over-Spender
19,Male,Freshman,Engineering,1087,133,5170,872,133,86,177,73,63,198,167,32,Credit/Debit Card,862,22,30,2516,2.2687105500450855,Balanced
23,Male,Sophomore,Computer Science,931,950,3012,636,329,187,96,141,96,246,193,121,Cash,502,158,16,2467,2.2653810835629016,Balanced
20,Female,Sophomore,Psychology,983,321,4912,761,350,177,256,61,73,206,63,179,Credit/Debit Card,819,54,43,2732,2.6345226615236257,Balanced
21,Non-binary,Sophomore,Engineering,639,854,4160,676,174,107,208,71,48,231,192,169,Mobile Payment App,693,142,35,2396,3.0678617157490398,Over-Spender
20,Male,Junior,Engineering,527,438,4231,961,212,60,287,57,31,80,162,40,Mobile Payment App,705,73,48,2356,3.9266666666666667,Over-Spender
24,Male,Junior,Computer Science,744,666,4930,853,134,115,197,107,73,256,117,34,Mobile Payment App,822,111,33,2544,2.975438596491228,Over-Spender
21,Male,Freshman,Economics,1118,367,3821,956,287,112,267,65,92,147,149,50,Mobile Payment App,637,61,44,2539,2.1535199321458864,Balanced
22,Male,Senior,Engineering,1276,606,3809,970,124,97,271,96,81,110,136,42,Credit/Debit Card,635,101,45,2336,1.6964415395787944,Saver
25,Female,Junior,Engineering,880,863,4771,903,291,100,292,108,55,217,164,51,Cash,795,144,49,2733,2.6689453125,Balanced
23,Male,Freshman,Engineering,1424,887,4645,854,140,145,156,35,36,50,114,153,Mobile Payment App,774,148,26,2327,1.4802798982188294,Saver
22,Female,Senior,Psychology,1276,500,3568,785,338,144,298,91,64,173,98,109,Mobile Payment App,595,83,50,2447,1.800588668138337,Saver
19,Non-binary,Junior,Computer Science,697,943,5958,824,274,200,89,56,31,268,175,96,Mobile Payment App,993,157,15,2932,3.433255269320843,Over-Spender
23,Non-binary,Senior,Computer Science,1379,500,3665,946,114,143,211,92,20,83,113,110,Mobile Payment App,611,83,35,2267,1.5506155950752394,Saver
20,Female,Freshman,Computer Science,1466,977,5400,698,283,135,58,135,96,171,30,85,Credit/Debit Card,900,163,10,2543,1.5610804174340085,Saver
24,Male,Junior,Biology,1126,649,3565,483,259,63,53,57,43,65,40,86,Cash,594,108,9,1699,1.3768233387358184,Saver
23,Non-binary,Senior,Biology,1126,9,5535,1000,206,135,84,70,95,295,120,73,Cash,922,2,14,2930,2.597517730496454,Balanced
21,Non-binary,Senior,Biology,618,916,4952,459,192,145,202,86,81,122,150,113,Cash,825,153,34,2207,2.8625162127107653,Over-Spender
22,Non-binary,Junior,Biology,785,303,3495,407,245,64,92,47,82,94,104,184,Mobile Payment App,582,50,15,1824,2.184431137724551,Balanced
18,Non-binary,Senior,Computer Science,770,554,3535,468,171,104,93,75,22,74,191,182,Cash,589,92,16,1892,2.194895591647332,Balanced
25,Non-binary,Sophomore,Psychology,1431,856,5216,528,377,155,191,149,56,117,124,173,Credit/Debit Card,869,143,32,2580,1.639135959339263,Saver
18,Female,Freshman,Biology,1338,491,3955,781,100,139,175,129,24,167,149,137,Credit/Debit Card,659,82,29,2314,1.6295774647887324,Saver
25,Female,Sophomore,Psychology,1121,794,3517,407,363,101,170,60,30,168,101,124,Mobile Payment App,586,132,28,1968,1.5706304868316041,Saver
24,Female,Freshman,Engineering,1245,675,5833,944,195,107,88,79,95,166,199,122,Credit/Debit Card,972,112,15,2894,2.1326455416359615,Saver
20,Female,Senior,Computer Science,748,223,3343,919,100,142,266,77,60,103,199,87,Mobile Payment App,557,37,44,2288,2.914649681528662,Over-Spender
20,Female,Junior,Biology,1389,477,3610,811,152,91,234,82,33,171,96,31,Credit/Debit Card,602,80,39,2108,1.43498978897209,Saver
19,Female,Junior,Engineering,1122,790,5969,840,365,104,134,64,98,201,57,168,Credit/Debit Card,995,132,22,2914,2.3237639553429026,Balanced
23,Male,Senior,Psychology,1113,955,5456,773,349,178,79,135,78,200,135,127,Cash,909,159,13,2897,2.27751572327044,Balanced
20,Female,Sophomore,Economics,879,547,5055,407,169,105,280,90,62,238,82,172,Cash,842,91,47,2214,2.2824742268041236,Balanced
18,Non-binary,Freshman,Economics,1489,202,4710,921,101,187,122,130,38,246,96,193,Mobile Payment App,785,34,20,2717,1.7839789888378201,Saver
22,Female,Freshman,Biology,869,85,5866,754,379,127,214,111,64,276,37,105,Cash,978,14,36,2867,3.2468856172140432,Over-Spender
23,Male,Junior,Psychology,1381,520,5066,624,356,65,97,55,84,106,65,51,Mobile Payment App,844,87,16,2266,1.5435967302452316,Saver
21,Non-binary,Sophomore,Biology,1325,735,4012,880,270,200,230,121,97,248,102,157,Cash,669,122,38,2782,1.9225984796129925,Saver
20,Male,Senior,Psychology,581,492,3705,448,318,114,186,129,85,215,188,100,Cash,618,82,31,2246,3.38763197586727,Over-Spender
22,Non-binary,Senior,Engineering,694,245,4140,692,398,92,215,25,92,247,135,28,Mobile Payment App,690,41,36,2435,3.312925170068027,Over-Spender
24,Female,Sophomore,Economics,615,563,3389,403,200,109,63,145,79,233,64,153,Mobile Payment App,565,94,10,1961,2.765867418899859,Over-Spender
25,Female,Sophomore,Economics,1394,519,4998,879,222,84,141,21,67,96,101,111,Credit/Debit Card,833,86,24,2438,1.6472972972972972,Saver
25,Female,Freshman,Biology,800,223,5867,828,298,94,166,127,81,229,48,71,Credit/Debit Card,978,37,28,2782,3.3237753882915175,Over-Spender
20,Male,Senior,Psychology,913,634,3541,668,375,187,171,70,91,90,133,200,Cash,590,106,28,2432,2.3866535819430816,Balanced
19,Male,Sophomore,Psychology,1243,882,5570,574,106,190,73,85,97,264,94,82,Mobile Payment App,928,147,12,2432,1.749640287769784,Saver
20,Female,Sophomore,Economics,655,685,3115,481,270,157,133,97,22,112,80,98,Credit/Debit Card,519,114,22,1858,2.4161248374512354,Over-Spender
18,Male,Freshman,Biology,667,647,4637,906,225,123,204,81,36,89,33,137,Credit/Debit Card,773,108,34,2437,3.144516129032258,Over-Spender
24,Non-binary,Senior,Economics,1458,7,5143,505,329,140,265,138,65,81,49,198,Credit/Debit Card,857,1,44,2406,1.6490747087045923,Saver
22,Non-binary,Sophomore,Biology,925,350,4445,529,227,51,173,132,24,58,183,74,Mobile Payment App,741,58,29,2048,2.0834181078331637,Balanced
21,Non-binary,Senior,Economics,1105,35,4114,417,308,178,152,142,90,286,84,139,Credit/Debit Card,686,6,25,2355,2.1197119711971197,Balanced
18,Male,Junior,Biology,737,490,5522,758,135,160,105,65,80,281,148,112,Cash,920,82,18,2677,3.2686202686202686,Over-Spender
25,Female,Freshman,Computer Science,1495,892,5525,767,182,97,213,135,30,196,54,21,Mobile Payment App,921,149,36,2439,1.4835766423357664,Saver
20,Male,Senior,Economics,1298,971,5002,717,249,63,214,72,40,220,80,26,Mobile Payment App,834,162,36,2337,1.6006849315068492,Saver
21,Male,Sophomore,Psychology,1272,784,3708,810,364,90,119,32,67,91,146,150,Credit/Debit Card,618,131,20,2388,1.7020669992872417,Saver
19,Female,Senior,Biology,511,825,5383,917,201,152,117,147,42,244,75,126,Credit/Debit Card,897,138,20,2821,4.3466872110939905,Over-Spender
21,Female,Sophomore,Engineering,1161,566,5178,653,381,155,213,116,45,208,139,174,Credit/Debit Card,863,94,36,2770,2.2071713147410357,Balanced
21,Male,Senior,Psychology,1112,943,5832,881,292,93,288,135,82,67,102,157,Mobile Payment App,972,157,48,2829,2.2293144208037825,Balanced
25,Male,Junior,Economics,958,451,5949,655,163,78,96,150,54,78,76,176,Cash,992,75,16,2438,2.3601161665053243,Balanced
25,Non-binary,Junior,Engineering,1176,186,4044,615,319,93,108,46,96,184,61,37,Credit/Debit Card,674,31,18,2143,1.7754763877381938,Balanced
20,Non-binary,Senior,Engineering,727,451,3325,570,253,76,98,55,49,229,96,97,Cash,554,75,16,1995,2.4875311720698257,Over-Spender
25,Non-binary,Senior,Biology,1483,826,3048,733,136,103,278,114,22,282,110,60,Credit/Debit Card,508,138,46,2114,1.3041332510795804,Saver
24,Male,Junior,Computer Science,881,97,4884,857,340,166,147,34,32,298,115,38,Credit/Debit Card,814,16,24,2718,3.0301003344481607,Over-Spender
21,Male,Freshman,Engineering,1347,634,5766,562,398,134,222,43,56,108,162,34,Mobile Payment App,961,106,37,2495,1.7171369580178941,Saver
22,Female,Freshman,Psychology,725,132,4477,822,150,61,192,133,89,204,133,95,Mobile Payment App,746,22,32,2465,3.2998661311914326,Over-Spender
18,Non-binary,Sophomore,Biology,1000,270,4171,859,194,139,246,102,65,93,185,152,Credit/Debit Card,695,45,41,2525,2.416267942583732,Balanced
24,Female,Sophomore,Engineering,795,580,4126,454,226,132,114,117,72,158,133,132,Credit/Debit Card,688,97,19,2131,2.3890134529147984,Balanced
18,Male,Senior,Economics,869,447,3962,416,369,112,71,44,51,160,74,43,Mobile Payment App,660,74,12,1941,2.0583244962884413,Balanced
24,Female,Freshman,Biology,543,177,4823,976,295,153,86,107,36,143,118,172,Credit/Debit Card,804,30,14,2818,4.9179755671902265,Over-Spender
25,Male,Sophomore,Economics,1470,403,5561,704,178,104,173,36,50,81,140,114,Credit/Debit Card,927,67,29,2363,1.5374105400130125,Saver
19,Female,Freshman,Economics,734,838,4441,437,185,79,53,129,21,149,120,53,Cash,740,140,9,1922,2.19908466819222,Balanced
20,Female,Freshman,Computer Science,669,638,5929,588,290,176,218,74,23,199,65,149,Mobile Payment App,988,106,36,2588,3.3393548387096774,Over-Spender
19,Female,Junior,Psychology,1336,417,4533,809,268,131,237,96,88,289,113,120,Cash,756,70,40,2710,1.9274537695590328,Saver
21,Female,Sophomore,Economics,1436,435,5414,748,274,89,220,34,79,241,118,113,Mobile Payment App,902,72,37,2635,1.7473474801061009,Saver
21,Non-binary,Freshman,Engineering,1339,777,5292,509,245,113,70,101,47,297,156,41,Mobile Payment App,882,130,12,2403,1.6358066712049013,Saver
18,Female,Freshman,Biology,609,201,4477,930,260,178,272,98,83,138,129,52,Credit/Debit Card,746,34,45,2659,4.135303265940902,Over-Spender
21,Non-binary,Sophomore,Economics,1036,169,4582,426,206,189,237,140,70,59,105,123,Mobile Payment App,764,28,40,2122,1.994360902255639,Balanced
25,Female,Senior,Engineering,1309,840,5575,923,257,115,263,78,20,236,39,78,Mobile Payment App,929,140,44,2719,1.8764665286404416,Saver
25,Male,Sophomore,Engineering,1471,521,4388,504,341,113,76,34,67,216,78,36,Cash,731,87,13,2133,1.3690629011553272,Saver
19,Male,Freshman,Engineering,658,487,3579,705,292,172,198,20,50,209,68,21,Mobile Payment App,596,81,33,2166,2.9309878213802434,Over-Spender
19,Male,Junior,Engineering,684,728,5407,953,162,107,117,64,54,260,166,168,Mobile Payment App,901,121,20,2855,3.546583850931677,Over-Spender
20,Male,Sophomore,Computer Science,907,468,3358,877,152,170,63,44,47,176,158,187,Credit/Debit Card,560,78,10,2381,2.417258883248731,Balanced
18,Male,Freshman,Computer Science,846,671,4827,928,256,61,114,21,77,160,133,143,Mobile Payment App,804,112,19,2602,2.7160751565762005,Balanced
18,Female,Sophomore,Biology,1175,963,5461,498,218,81,182,26,60,296,143,24,Cash,910,160,30,2286,1.7123595505617977,Saver
25,Male,Freshman,Biology,659,893,5837,867,142,77,163,105,79,184,166,140,Credit/Debit Card,973,149,27,2760,3.4158415841584158,Over-Spender
18,Non-binary,Sophomore,Economics,1488,492,5185,450,152,120,218,91,81,257,50,39,Cash,864,82,36,2140,1.3630573248407643,Saver
22,Female,Senior,Psychology,1190,194,5107,483,299,179,173,30,68,144,170,119,Cash,851,32,29,2372,1.9410801963993454,Balanced
19,Female,Junior,Psychology,742,543,5288,772,125,162,123,126,51,94,113,71,Credit/Debit Card,881,90,20,2415,2.902644230769231,Over-Spender
23,Non-binary,Freshman,Psychology,914,663,3265,809,175,60,125,21,81,135,194,154,Credit/Debit Card,544,110,21,2194,2.142578125,Balanced
19,Male,Freshman,Biology,1485,53,3659,651,221,198,124,141,85,293,57,171,Cash,610,9,21,2448,1.6385542168674698,Saver
20,Female,Junior,Biology,582,678,4190,722,112,188,97,133,66,69,131,147,Credit/Debit Card,698,113,16,2282,3.283453237410072,Over-Spender
19,Non-binary,Junior,Engineering,1468,415,4764,613,115,157,121,31,88,77,56,117,Credit/Debit Card,794,69,20,2068,1.3454782042940794,Saver
25,Female,Sophomore,Computer Science,1021,93,3755,512,104,188,146,103,63,183,128,34,Cash,626,16,24,1965,1.8948891031822566,Balanced
24,Male,Freshman,Computer Science,760,281,4727,822,394,88,191,50,48,160,188,81,Mobile Payment App,788,47,32,2651,3.285006195786865,Over-Spender
24,Non-binary,Freshman,Economics,969,371,3771,889,336,59,298,35,89,201,74,75,Cash,628,62,50,2436,2.3627546071774974,Balanced
23,Female,Senior,Biology,990,431,3846,594,330,89,114,54,72,82,132,125,Mobile Payment App,641,72,19,2138,2.0131826741996233,Balanced
23,Non-binary,Sophomore,Engineering,1304,457,4240,878,111,165,86,123,41,120,124,27,Cash,707,76,14,2310,1.673913043478261,Saver
23,Male,Sophomore,Biology,805,0,4759,409,255,101,285,49,45,89,115,129,Credit/Debit Card,793,0,48,2033,2.5254658385093167,Over-Spender
25,Male,Senior,Engineering,1179,223,4058,952,340,118,65,121,51,174,41,177,Credit/Debit Card,676,37,11,2661,2.1883223684210527,Balanced
18,Non-binary,Senior,Computer Science,573,299,3003,878,229,131,157,58,88,53,182,190,Mobile Payment App,500,50,26,2335,3.7479935794542536,Over-Spender
25,Female,Senior,Psychology,843,4,4906,869,226,196,66,82,98,289,58,148,Mobile Payment App,818,1,11,2795,3.311611374407583,Over-Spender
23,Non-binary,Junior,Biology,1085,795,3056,501,170,136,155,70,46,192,89,38,Mobile Payment App,509,132,26,1777,1.4601479046836483,Saver
23,Female,Freshman,Biology,580,771,3789,707,322,170,244,114,75,79,188,107,Credit/Debit Card,632,128,41,2435,3.439265536723164,Over-Spender
25,Female,Sophomore,Computer Science,975,630,4785,693,316,177,263,121,62,233,149,32,Cash,798,105,44,2625,2.4305555555555554,Balanced
23,Male,Senior,Psychology,602,608,4542,830,378,83,229,131,54,166,145,160,Credit/Debit Card,757,101,38,2742,3.9004267425320056,Over-Spender
23,Non-binary,Senior,Economics,1103,873,4761,671,394,121,215,112,47,118,119,115,Cash,794,146,36,2527,2.023218574859888,Balanced
20,Non-binary,Freshman,Psychology,816,233,3909,949,136,165,53,59,30,275,183,32,Mobile Payment App,652,39,9,2490,2.912280701754386,Over-Spender
24,Male,Freshman,Engineering,1016,201,5042,606,142,54,188,106,64,162,40,84,Cash,840,34,31,2129,2.0276190476190474,Balanced
23,Non-binary,Junior,Engineering,969,327,3449,516,312,182,186,25,44,186,117,164,Cash,575,54,31,2152,2.1036168132942326,Balanced
21,Non-binary,Junior,Computer Science,918,831,5934,949,391,81,127,121,64,275,141,159,Credit/Debit Card,989,138,21,3191,3.021780303030303,Balanced
23,Non-binary,Senior,Computer Science,982,207,4397,710,159,118,89,109,87,225,65,69,Mobile Payment App,733,34,15,2290,2.2539370078740157,Balanced
25,Male,Junior,Computer Science,1021,912,5979,785,293,86,228,32,46,135,102,72,Cash,996,152,38,2585,2.2037510656436488,Balanced
22,Female,Sophomore,Psychology,521,884,5701,916,342,175,221,86,46,57,112,27,Mobile Payment App,950,147,37,2748,4.11377245508982,Over-Spender
24,Female,Freshman,Computer Science,1444,881,3721,458,269,70,89,72,50,182,81,130,Mobile Payment App,620,147,15,1947,1.2237586423632936,Saver
21,Male,Sophomore,Psychology,646,487,4218,822,124,74,108,52,97,68,105,48,Credit/Debit Card,703,81,18,2111,2.9037138927097663,Over-Spender
21,Female,Freshman,Economics,1296,133,3728,464,212,184,298,72,53,198,111,135,Mobile Payment App,621,22,50,2100,1.5933232169954477,Saver
18,Non-binary,Freshman,Economics,1360,222,5759,810,164,153,77,60,99,180,177,143,Mobile Payment App,960,37,13,2759,1.9749463135289906,Saver
19,Female,Senior,Biology,1123,5,5407,404,345,122,187,73,20,215,171,190,Cash,901,1,31,2472,2.199288256227758,Balanced
18,Female,Senior,Psychology,1020,74,5837,552,123,138,267,98,63,267,163,30,Mobile Payment App,973,12,44,2451,2.375,Balanced
21,Female,Freshman,Computer Science,736,628,3757,743,256,180,209,92,92,228,44,61,Credit/Debit Card,626,105,35,2357,2.802615933412604,Over-Spender
23,Non-binary,Senior,Economics,931,322,5865,490,155,146,175,79,95,113,142,139,Cash,978,54,29,2366,2.402030456852792,Balanced
24,Male,Senior,Psychology,1443,982,3807,814,364,169,299,126,20,102,193,127,Mobile Payment App,634,164,50,2599,1.6172993154947106,Saver
22,Male,Freshman,Engineering,730,374,3483,675,230,68,212,124,72,156,118,181,Cash,580,62,35,2239,2.827020202020202,Over-Spender
25,Non-binary,Senior,Economics,561,759,4229,781,147,88,144,55,95,114,142,56,Mobile Payment App,705,126,24,2207,3.2125181950509463,Over-Spender
25,Female,Sophomore,Economics,1212,616,5867,728,378,65,159,92,79,289,35,75,Cash,978,103,26,2745,2.08745247148289,Saver
25,Non-binary,Freshman,Computer Science,1282,416,5824,594,309,121,108,58,91,234,104,120,Cash,971,69,18,2620,1.9393042190969652,Saver
21,Non-binary,Freshman,Biology,1438,364,5133,617,392,127,249,37,28,154,170,174,Mobile Payment App,856,61,42,2597,1.732488325550367,Saver
18,Female,Senior,Psychology,702,531,4901,497,237,150,298,46,62,225,123,130,Credit/Debit Card,817,88,50,2337,2.958227848101266,Over-Spender
20,Male,Senior,Biology,1433,764,5002,589,397,51,288,135,100,71,48,112,Credit/Debit Card,834,127,48,2385,1.5288461538461537,Saver
25,Female,Freshman,Psychology,1444,542,4680,829,207,122,260,109,37,127,43,69,Cash,780,90,43,2366,1.5423728813559323,Saver
22,Female,Junior,Psychology,536,484,5803,413,326,104,86,99,69,197,167,157,Cash,967,81,14,2513,4.072933549432739,Over-Spender
18,Non-binary,Freshman,Engineering,1260,68,3610,637,296,86,87,50,54,230,183,137,Credit/Debit Card,602,11,14,2289,1.8009441384736429,Saver
18,Non-binary,Freshman,Biology,701,340,3235,969,337,65,152,113,99,169,161,159,Cash,539,57,25,2636,3.4775725593667546,Over-Spender
18,Female,Freshman,Engineering,1309,144,3419,728,171,116,152,107,85,124,76,78,Cash,570,24,25,2080,1.5603900975243812,Saver
18,Non-binary,Sophomore,Economics,842,491,4582,473,202,156,279,120,81,270,67,78,Credit/Debit Card,764,82,46,2257,2.4426406926406927,Balanced
